,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
150,72,2017,24,89.66,1,47,13,20,.650,8,10,.800,1,1,1.000,0,2,2,5,0,0,1,3,35,28.1,+17
151,73,2017,24,76.15,1,37,4,16,.250,1,4,.250,1,2,.500,0,7,7,6,0,0,3,1,10,2.9,-18
152,74,2017,24,61.36,1,39,10,19,.526,2,5,.400,0,0,,2,2,4,3,0,0,2,1,22,14.4,0
153,75,2017,24,89.66,1,39,6,13,.462,4,8,.500,2,2,1.000,0,3,3,7,0,0,4,1,18,12.7,-18
154,76,2017,24,48.9,1,30,3,12,.250,1,5,.200,0,0,,0,0,0,3,0,0,0,3,7,0.7,-30
155,77,2017,24,38.45,1,34,3,12,.250,1,5,.200,0,0,,1,2,3,4,0,0,2,1,7,1.5,+5
156,78,2017,24,0.01,1,28,7,17,.412,1,5,.200,2,2,1.000,1,5,6,2,0,0,5,2,17,5.7,+1
157,79,2017,24,83.75,1,30,5,12,.417,2,6,.333,0,0,,0,3,3,6,0,0,1,0,12,9.7,+12
158,80,2017,24,89.66,1,31,7,13,.538,1,4,.250,2,2,1.000,0,4,4,3,0,0,2,2,17,11.2,-2
159,81,2017,24,39.71,1,25,5,8,.625,3,5,.600,2,2,1.000,0,3,3,3,1,0,2,1,15,13.0,-5
160,82,2017,24,3.39,1,32,8,16,.500,1,6,.167,0,3,.000,0,3,3,2,1,0,1,2,17,9.3,-23
161,1,2017,25,72.19,0,22,7,16,.438,2,3,.667,2,3,.667,0,2,2,2,2,0,3,0,18,10.2,-11
162,2,2017,25,100.01,0,17,6,11,.545,2,5,.400,3,3,1.000,0,2,2,1,0,0,1,3,17,10.8,-7
163,3,2017,25,50.18,0,25,10,18,.556,3,6,.500,1,1,1.000,0,0,0,5,0,0,2,0,24,16.9,+4
164,4,2017,25,54.2,0,17,3,8,.375,1,3,.333,1,2,.500,0,1,1,4,1,0,4,3,8,2.1,-9
165,5,2017,25,22.36,0,13,4,11,.364,1,6,.167,2,2,1.000,1,1,2,0,0,0,4,2,11,1.1,+4
166,6,2017,25,0.01,0,20,7,12,.583,0,1,.000,1,1,1.000,1,3,4,2,0,0,0,1,15,12.0,+2
167,7,2017,25,40.01,0,20,4,9,.444,1,2,.500,1,1,1.000,0,3,3,4,0,0,0,1,10,8.6,+15
168,8,2017,25,26.49,0,21,6,9,.667,0,1,.000,2,4,.500,0,1,1,4,0,0,0,2,14,11.6,-8
169,9,2017,25,77.66,0,25,6,12,.500,0,0,,7,8,.875,1,3,4,5,2,0,2,1,19,17.3,-3
170,10,2017,25,81.46,0,20,6,10,.600,1,1,1.000,2,2,1.000,0,4,4,5,2,0,4,0,15,13.1,+3
171,11,2017,25,1.02,0,27,7,13,.538,2,4,.500,2,4,.500,3,2,5,2,2,0,3,3,18,12.8,-6
172,12,2017,25,54.2,0,20,5,10,.500,2,3,.667,3,4,.750,0,2,2,0,0,0,1,1,15,8.8,-13
173,13,2017,25,71.74,0,20,3,8,.375,0,3,.000,2,4,.500,0,1,1,1,1,0,3,2,8,1.0,-6
174,14,2017,25,100.01,0,26,11,19,.579,3,7,.429,0,0,,0,3,3,3,1,0,0,2,25,19.3,+15
175,15,2017,25,13.53,0,31,8,21,.381,0,2,.000,4,4,1.000,3,3,6,5,2,0,0,1,20,16.6,+3
176,16,2017,25,100.01,0,17,2,6,.333,0,1,.000,0,0,,0,2,2,2,0,0,1,2,4,0.8,-4
177,17,2017,25,76.43,0,24,7,12,.583,0,2,.000,4,7,.571,2,1,3,1,1,0,3,4,18,10.0,+11
178,18,2017,25,78.78,0,16,3,8,.375,2,6,.333,4,4,1.000,0,0,0,1,0,0,1,1,12,6.9,-5
179,19,2017,25,82.02,0,25,6,15,.400,2,6,.333,1,2,.500,1,1,2,3,1,0,2,2,15,7.8,-14
180,20,2017,25,72.19,0,25,8,12,.667,1,1,1.000,0,0,,2,6,8,5,0,0,2,0,17,16.5,+3
181,21,2017,25,43.25,0,35,9,19,.474,2,4,.500,1,1,1.000,3,3,6,8,0,0,1,3,21,17.7,+8
182,22,2017,25,76.43,0,28,5,12,.417,2,6,.333,0,0,,2,1,3,4,0,0,2,1,12,7.7,+3
183,23,2017,25,25.48,0,20,1,9,.111,1,5,.200,2,2,1.000,0,1,1,1,0,0,4,1,5,-4.3,-8
184,24,2017,25,13.53,0,14,6,11,.545,4,7,.571,0,0,,0,2,2,0,1,0,1,1,16,10.9,-2
185,25,2017,25,57.66,0,26,7,12,.583,1,4,.250,7,8,.875,0,5,5,6,1,0,2,0,22,20.7,+13
186,26,2017,25,75.99,0,20,5,11,.455,1,2,.500,1,1,1.000,4,2,6,3,0,0,1,0,12,10.8,+9
187,27,2017,25,89.4,0,25,5,13,.385,1,7,.143,0,0,,0,1,1,4,0,0,2,0,11,5.0,-4
188,28,2017,25,43.25,0,18,2,7,.286,0,1,.000,0,0,,0,0,0,3,0,0,2,1,4,-0.4,-13
189,29,2017,25,25.48,0,18,2,10,.200,0,3,.000,0,1,.000,0,1,1,3,0,0,0,0,4,-0.2,+15
190,30,2017,25,43.25,0,14,2,9,.222,0,2,.000,0,0,,0,3,3,4,0,0,1,2,4,0.4,+3
191,31,2017,25,26.49,0,21,7,14,.500,2,4,.500,2,2,1.000,1,2,3,1,1,0,1,0,18,13.0,-13
192,32,2017,25,81.57,1,35,8,24,.333,0,3,.000,1,1,1.000,4,2,6,7,4,0,1,1,17,14.3,-9
193,33,2017,25,81.46,1,37,7,17,.412,5,9,.556,3,5,.600,2,2,4,2,0,1,2,2,22,13.4,-1
194,34,2017,25,72.19,0,35,9,16,.563,2,5,.400,0,0,,1,4,5,8,0,0,2,0,20,17.9,+1
195,35,2017,25,25.48,0,21,2,7,.286,0,2,.000,2,2,1.000,0,0,0,1,2,0,1,0,6,3.6,-11
196,36,2018,25,81.57,0,24,7,15,.467,2,6,.333,4,7,.571,0,2,2,4,1,0,3,1,20,12.1,-4
197,37,2018,25,38.67,0,20,4,15,.267,2,8,.250,1,1,1.000,0,1,1,2,1,0,0,0,11,4.8,-20
198,38,2018,25,57.66,0,19,3,10,.300,1,5,.200,0,0,,1,1,2,2,1,0,2,1,7,2.2,-14
